😀	face-smiling/grinning-face
💅	hand-prop/nail-polish
💅🏻	hand-prop/nail-polish-light-skin-tone
💅🏼	hand-prop/nail-polish-medium-light-skin-tone
💅🏽	hand-prop/nail-polish-medium-skin-tone
💅🏾	hand-prop/nail-polish-medium-dark-skin-tone
💅🏿	hand-prop/nail-polish-dark-skin-tone
🤳	hand-prop/selfie
🤳🏻	hand-prop/selfie-light-skin-tone
🤳🏼	hand-prop/selfie-medium-light-skin-tone
🤳🏽	hand-prop/selfie-medium-skin-tone
🤳🏾	hand-prop/selfie-medium-dark-skin-tone
🤳🏿	hand-prop/selfie-dark-skin-tone
💪	body-parts/flexed-biceps
💪🏻	body-parts/flexed-biceps-light-skin-tone
💪🏼	body-parts/flexed-biceps-medium-light-skin-tone
💪🏽	body-parts/flexed-biceps-medium-skin-tone
💪🏾	body-parts/flexed-biceps-medium-dark-skin-tone
💪🏿	body-parts/flexed-biceps-dark-skin-tone
🦾	body-parts/mechanical-arm
🦿	body-parts/mechanical-leg
🦵	body-parts/leg
🦵🏻	body-parts/leg-light-skin-tone
🦵🏼	body-parts/leg-medium-light-skin-tone
🦵🏽	body-parts/leg-medium-skin-tone
🦵🏾	body-parts/leg-medium-dark-skin-tone
🦵🏿	body-parts/leg-dark-skin-tone
🦶	body-parts/foot
🦶🏻	body-parts/foot-light-skin-tone
🦶🏼	body-parts/foot-medium-light-skin-tone
🦶🏽	body-parts/foot-medium-skin-tone
🦶🏾	body-parts/foot-medium-dark-skin-tone
🦶🏿	body-parts/foot-dark-skin-tone
👂	body-parts/ear
👂🏻	body-parts/ear-light-skin-tone
👂🏼	body-parts/ear-medium-light-skin-tone
👂🏽	body-parts/ear-medium-skin-tone
👂🏾	body-parts/ear-medium-dark-skin-tone
👂🏿	body-parts/ear-dark-skin-tone
🦻	body-parts/ear-with-hearing-aid
🦻🏻	body-parts/ear-with-hearing-aid-light-skin-tone
🦻🏼	body-parts/ear-with-hearing-aid-medium-light-skin-tone
🦻🏽	body-parts/ear-with-hearing-aid-medium-skin-tone
🦻🏾	body-parts/ear-with-hearing-aid-medium-dark-skin-tone
🦻🏿	body-parts/ear-with-hearing-aid-dark-skin-tone
👃	body-parts/nose
👃🏻	body-parts/nose-light-skin-tone
👃🏼	body-parts/nose-medium-light-skin-tone
👃🏽	body-parts/nose-medium-skin-tone
👃🏾	body-parts/nose-medium-dark-skin-tone
👃🏿	body-parts/nose-dark-skin-tone
🧠	body-parts/brain
🫀	body-parts/anatomical-heart
🫁	body-parts/lungs
🦷	body-parts/tooth
🦴	body-parts/bone
👀	body-parts/eyes
👁️	body-parts/eye
👁	body-parts/eye
👅	body-parts/tongue
👄	body-parts/mouth
🫦	body-parts/biting-lip
👶	person/baby
👶🏻	person/baby-light-skin-tone
👶🏼	person/baby-medium-light-skin-tone
👶🏽	person/baby-medium-skin-tone
👶🏾	person/baby-medium-dark-skin-tone
👶🏿	person/baby-dark-skin-tone
🧒	person/child
🧒🏻	person/child-light-skin-tone
🧒🏼	person/child-medium-light-skin-tone
🧒🏽	person/child-medium-skin-tone
🧒🏾	person/child-medium-dark-skin-tone
🧒🏿	person/child-dark-skin-tone
👦	person/boy
👦🏻	person/boy-light-skin-tone
👦🏼	person/boy-medium-light-skin-tone
👦🏽	person/boy-medium-skin-tone
👦🏾	person/boy-medium-dark-skin-tone
👦🏿	person/boy-dark-skin-tone
👧	person/girl
👧🏻	person/girl-light-skin-tone
👧🏼	person/girl-medium-light-skin-tone
👧🏽	person/girl-medium-skin-tone
👧🏾	person/girl-medium-dark-skin-tone
👧🏿	person/girl-dark-skin-tone
🧑	person/person
🧑🏻	person/person-light-skin-tone
🧑🏼	person/person-medium-light-skin-tone
🧑🏽	person/person-medium-skin-tone
🧑🏾	person/person-medium-dark-skin-tone
🧑🏿	person/person-dark-skin-tone
👱	person/person-blond-hair
👱🏻	person/person-light-skin-tone-blond-hair
👱🏼	person/person-medium-light-skin-tone-blond-hair
👱🏽	person/person-medium-skin-tone-blond-hair
👱🏾	person/person-medium-dark-skin-tone-blond-hair
👱🏿	person/person-dark-skin-tone-blond-hair
👨	person/man
👨🏻	person/man-light-skin-tone
👨🏼	person/man-medium-light-skin-tone
👨🏽	person/man-medium-skin-tone
👨🏾	person/man-medium-dark-skin-tone
👨🏿	person/man-dark-skin-tone
🧔	person/person-beard
🧔🏻	person/person-light-skin-tone-beard
